Id,Model,Price
3,Â TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14675.03344
4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,14675.03344
6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,14895.09497
7,Â TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,15640.197
8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,15946.89051
9,Â TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,18489.77417
10,Â TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13111.67602
12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,21060.20975
15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,21060.20975
19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,16730.90601
25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17840.38832
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17840.38832
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15257.93809
35,Â TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14951.24538
40,Â TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14780.85737
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16139.46696
46,Â TOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,18245.53769
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21159.55679
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16139.46696
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15050.59243
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15050.59243
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,19296.33406
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,14860.54991
74,Â TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,14573.51172
75,Â TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17939.73536
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15357.28513
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,15526.97192
83,Â TOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,14573.51172
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,20834.83248
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19792.32027
103,TOYOTA Corolla 1.4 VVT-i Sol 2/3-Doors,15934.69927
108,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16895.78355
111,Â TOYOTA Corolla VERSO 2.0 D4D SOL (7) BNS MPV,25007.31182
113,TOYOTA Corolla VERSO 2.0 D4D SOL (7) MPV,25007.31182
121,TOYOTA Corolla 2.0 D4D 110 5DR EXEC BNS 4/5-Doors,20934.17953
122,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16858.12469
125,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19577.58083
141,TOYOTA Corolla 1.6i 16V VVT I SOL + Navigatie 4/5-Doors,19270.88812
145,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA COMF 4/5-Doors,16916.44978
147,Â TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,16995.1306
155,Â TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17164.81739
157,TOYOTA Corolla 1.4 16V VVT I SEDAN TERRA COMF 4/5-Doors,16746.76298
159,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17164.81739
162,TOYOTA Corolla 1.6 16V VVT I SEDAN SOL 4/5-Doors,19329.21321
172,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort AIRCO NIEUW 5DRS 4/5-Doors,16204.35565
175,Â TOYOTA Corolla 1.4 16V VVT I 5DR LUNA 4/5-Doors,18326.28336
178,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18495.97015
181,TOYOTA Corolla 1.6 16V VVT I 5DR EXEC 4/5-Doors,21215.42629
182,TOYOTA Corolla 1.6 VVT-I 5DR LINEA TERRA 4/5-Doors,17842.20112
183,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,18326.28336
184,TOYOTA Corolla 1.4 16V 5DR TERRA 4/5-Doors,18632.97606
187,TOYOTA Corolla 1.6-16v VVT-i Linea Terra Comfort NIEUW AIRCO 5drs 4/5-Doors,17842.20112
191,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13232.44774
192,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,11473.83056
194,TOYOTA Corolla 1.8D 4/5-Doors,11696.23639
197,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13185.04558
199,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,13604.96417
201,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13886.8551
204,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13491.73828
208,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13185.04558
210,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13234.7191
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,13604.96417
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,12257.60397
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12335.75614
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12335.75614
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13491.73828
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,12707.96486
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13495.05194
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12335.75614
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,13131.54421
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13532.76023
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,13234.7191
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12824.85151
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13037.18798
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13491.73828
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13491.73828
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,12704.13702
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13014.65757
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12335.75614
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12029.06344
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12029.06344
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13491.73828
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13541.4118
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12775.17799
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13014.65757
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12982.52364
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13222.70444
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13541.4118
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,12397.44432
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13541.4118
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,13131.54421
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12339.0698
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12745.62373
311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13491.73828
314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,12029.06344
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12916.01174
