Id,Yhat
117,22020.5042
114,21990.4518
115,21990.4518
149,18548.5493
143,18268.2384
173,19045.6956
140,20448.6095
116,21663.3486
17,17421.3053
92,19526.9401
16,17588.2969
54,16388.2035
118,21646.3604
176,20341.7034
180,20014.5792
127,18225.1069
156,18544.8307
14,17926.0665
185,20256.5568
11,17190.0319
151,18578.3965
169,18974.5607
163,17564.9358
53,17050.6484
148,18314.6664
170,18710.0263
93,19446.8251
123,18619.5804
144,18519.4613
153,18184.2975
167,18407.2651
168,18700.7545
177,20224.9456
179,19786.7167
160,18568.6465
161,18966.4093
13,17457.8875
164,17888.7614
158,18210.7388
165,17285.5371
174,19783.1544
105,18429.245
150,18158.2395
120,18803.022
101,18066.5357
59,17238.547
67,16739.1342
73,16641.8088
81,17071.0616
146,18401.5723
526,12145.6005
95,16902.3365
107,16441.6246
63,16627.004
77,16854.8196
99,18039.7707
104,18147.6542
78,15840.4189
138,18043.1084
154,18263.1869
18,15741.1585
30,17006.0998
47,17026.4135
49,17171.0455
64,16546.99
65,16149.7398
84,17712.5602
88,18587.8338
109,18045.6002
130,17914.4546
119,19354.0297
171,17367.8962
186,19286.4922
166,18133.9841
27,16673.5894
86,16910.1842
100,17781.7003
152,17908.8551
20,15444.8923
22,16594.77
24,16579.2738
44,16258.3471
66,15548.3823
76,16314.4191
106,17845.5305
126,17801.0227
79,16282.7235
42,15787.233
85,16501.1188
62,16331.6562
129,17410.0345
136,17389.9539
137,17413.7697
91,17151.4181
142,17802.0375
124,17376.37
102,17594.1195
132,17457.9691
134,17522.3263
139,17399.7824
60,16295.8416
21,15519.4927
23,16233.1486
26,16796.7084
33,15940.024
37,15889.8454
70,15929.5966
71,16222.5204
89,17075.1833
94,17308.7137
97,17387.3725
98,17599.0905
128,16634.5108
133,17656.4157
135,17314.9222
131,16826.756
48,15296.512
28,16534.8154
36,15667.526
39,16165.7608
52,15659.3444
55,15855.8985
57,15515.7978
58,15661.3204
281,13829.2108
360,14408.3668
34,15734.467
38,16192.8454
225,13476.8876
255,14072.7062
345,14166.2882
348,14519.3639
357,13979.055
87,15688.323
270,15802.3108
362,12802.6889
300,14065.6856
313,14467.0721
41,14838.7312
43,15022.3914
239,13599.6257
285,14236.71
296,14242.9917
304,13540.2444
306,13751.7693
317,13853.1578
333,14437.2955
471,12454.3054
515,12298.2954
293,13878.8742
2,15799.5055
5,16703.951
301,13957.0162
350,14042.6944
358,14455.1707
532,12538.5156
1,16182.4351
216,14599.3165
250,13341.9504
258,13116.8826
264,12552.3539
272,13745.6426
274,13904.6184
276,12935.3214
309,12928.2937
380,13359.0283
563,12713.5284
261,13703.316
278,13886.7695
349,13989.4913
366,14134.2812
56,15557.3547
196,12996.1269
212,13709.6901
372,14819.2389
573,12647.109
31,15491.4924
206,13389.3971
227,13241.6634
233,13076.3632
287,14124.53
291,13588.6774
298,13727.4128
312,14321.9131
318,14488.7265
329,13932.7862
330,14363.3546
347,14172.562
351,13587.0817
377,14631.6581
537,12501.9531
556,12447.1075
567,12119.6003
574,11946.9116
589,13272.2367
603,12824.1739
917,10694.372
249,13443.9137
257,12685.9708
367,14432.0126
284,13540.4356
231,13550.6819
265,13305.8352
280,12148.6628
302,14232.0748
352,13637.2346
359,13626.7461
292,13543.8977
337,12927.0395
430,11032.7695
442,10706.6026
549,12741.083
1040,11046.9712
263,13442.4092
223,20265.8194
226,13031.8038
230,13798.5109
243,13586.0836
269,13001.6031
355,14222.1126
544,12526.6173
336,14036.1669
295,13887.5804
700,9270.4613
340,13721.4022
266,13398.7119
456,11562.0215
491,11171.7616
322,14499.1455
190,13016.6886
211,13985.1026
228,12523.0431
234,13189.0687
286,13555.2464
321,12874.9602
327,14065.805
334,13807.8676
344,13660.9625
346,14245.6225
365,13168.5882
370,13074.7574
375,13640.4399
416,10828.7786
443,11205.6175
457,11356.1038
464,11083.0041
476,10863.5267
497,11862.3837
504,12126.6547
519,11903.4246
524,11467.7047
538,12703.0464
558,12481.8843
581,12122.427
800,8971.347
584,11911.2736
198,12235.6326
236,12672.7214
343,13445.9388
410,11448.0792
514,11730.345
290,13515.5083
353,13577.3167
536,11637.0507
214,13709.8352
112,24903.6848
195,12720.7789
251,12927.122
254,13242.5486
335,13340.1349
447,11238.1513
454,11682.7503
496,11210.7838
499,11983.1849
542,12110.7629
577,12044.1919
288,13564.4778
513,11880.9462
229,13512.5847
237,13100.0174
207,12958.1304
364,12744.5242
379,13521.2408
439,11885.8027
483,12488.3172
484,10928.7491
508,11754.2143
510,11430.0566
575,12018.0245
734,9708.344
895,10626.718
950,10930.548
202,12796.6592
279,12912.7819
277,13513.5738
215,12885.8588
310,13293.2276
371,13145.3451
429,11018.6017
445,11246.4417
451,10420.0935
455,11503.3602
468,12180.4063
485,11960.691
522,12356.229
527,12178.5475
529,12044.6037
203,11421.1634
325,13268.7481
498,11717.9073
501,12341.1212
559,12288.079
604,12849.431
892,10969.7223
332,13662.1632
562,12283.7478
450,11497.5423
557,12129.1638
570,12031.0703
836,10336.7612
898,10088.1308
209,12408.8073
217,13049.4402
238,12258.9796
242,13141.0436
297,12730.0087
319,13040.8048
369,12928.3662
409,11538.673
414,11454.1387
420,11574.3696
434,11451.5288
435,11774.9543
493,11197.3432
541,10979.4879
548,11612.8666
564,11899.0502
576,11213.3475
594,12007.3002
597,12081.547
738,10195.5815
751,10368.3458
755,9805.3966
763,10103.6574
768,9410.328
777,10571.515
817,9652.7975
840,10645.8694
851,10390.8004
865,9216.3491
870,10533.5304
884,10135.9935
930,10651.7731
939,10608.6574
968,10717.0346
1012,10632.3277
1029,11346.583
1037,11143.9574
1044,11543.5776
1390,8709.158
417,10364.9041
512,12019.419
546,11278.3547
569,11742.7159
823,10400.5538
1023,10748.713
1046,10466.4785
253,12476.7251
323,14161.2518
444,11283.0244
465,11766.3017
489,10930.7523
494,11666.1019
539,11720.4494
555,11789.0565
565,11278.4741
571,12585.6761
850,10677.325
985,10331.6893
1031,11231.2476
1033,9988.035
1036,10456.1712
601,11721.4803
401,10399.5365
404,11719.5492
423,11615.3953
431,11194.8763
481,11693.757
488,11422.2612
517,11148.1051
545,11486.587
585,11852.2201
