,Id,Model,Age_08_04,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,CC,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Parking_Assistant,Tow_Bar,After_2002,vvt,Premium_option,Predicted
0,3,Â TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,24,9,2002,41711,Diesel,90,1,Blue,0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,16040.8876989
1,4,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,26,7,2002,48000,Diesel,90,0,Black,0,2000,3,4,5,210,1165,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,15751.9656345
2,6,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,32,1,2002,61000,Diesel,90,0,White,0,2000,3,4,5,210,1170,0,1,3,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,4.2,15523.239114
3,7,Â TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,27,6,2002,94612,Diesel,90,1,Grey,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,4.2,16284.430286
4,8,TOYOTA Corolla 2.0 D4D 90 3DR TERRA 2/3-Doors,30,3,2002,75889,Diesel,90,1,Grey,0,2000,3,4,5,210,1245,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,6.2,16626.3255304
5,9,Â TOYOTA Corolla 1800 T SPORT VVT I 2/3-Doors,27,6,2002,19700,Petrol,192,0,Red,0,1800,3,4,5,100,1185,0,1,3,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,4.2,19282.0894371
6,10,Â TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,23,10,2002,71138,Diesel,69,0,Blue,0,1900,3,4,5,185,1105,0,1,3,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.2,14733.60191
7,12,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT BNS 2/3-Doors,22,11,2002,43610,Petrol,192,0,Red,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,4.2,20769.2613586
8,15,TOYOTA Corolla 1.8 16V VVTLI 3DR T SPORT 2/3-Doors,32,1,2002,34131,Petrol,192,1,Grey,0,1800,3,4,6,100,1185,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,6.2,20315.1246655
9,19,TOYOTA Corolla 1.6 16v L.SOL 2/3-Doors,24,9,2002,25563,Petrol,110,0,Grey,0,1600,3,4,5,19,1065,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,6.2,18080.9254675
10,25,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,29,4,2002,25813,Petrol,110,1,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,6.2,18464.8055238
11,29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,28,5,2002,44142,Petrol,110,0,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,4.2,17946.629696
12,32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,22,11,2002,35199,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,6.2,16697.0763373
